-12,1,82
-14,-38,-25
87,-15,-89
-19,-30,5
79,-48,-89
-80,-50,38
39,-10,-63
-69,-83,-80
-54,11,-86
-50,-30,-20
41,64,38
29,-2,-43
33,7,86
58,79,20
13,-65,-74
71,-4,-6
21,-8,-49
12,84,-59
-72,38,76
52,52,29
-73,-48,-44
34,-33,-74
22,53,47
-42,-42,-5
27,73,30
-72,27,70
-5,22,-79
49,49,59
-64,-25,-21
0,75,79
6,4,-31
37,6,-76
-6,-86,6
7,-41,-65
15,-7,-53
0,8,-23
46,-25,83
31,0,46
-89,-52,57
58,10,-78
-73,-85,-43
-66,19,-79
11,-41,-80
78,-57,-72
-68,-42,76
66,89,-26
44,88,56
-66,43,-69
58,20,-22
-3,44,-89
-59,-67,-44
-68,-59,88
31,86,83
6,18,-16
9,60,-83
74,-52,58
-16,48,23
-22,-89,-27
-27,-47,-37
70,10,-38
19,79,-22
-19,66,-72
56,0,-35
51,-28,38
-77,-77,23
-33,56,13
-50,-47,-62
72,44,66
-12,-62,36
38,-42,-3
42,-31,-10
-67,-87,-77
41,3,70
-60,-4,-35
-86,83,20
-78,45,19
-1,-78,26
83,-65,-22
13,19,-72
32,2,-15
-13,-11,-80
-41,70,71
-36,5,61
-24,-64,-72
-28,42,35
-3,-66,-11
-88,15,71
13,-43,6
10,-55,-48
70,0,29
-85,1,-78
21,49,-42
42,53,36
-89,87,16
19,-69,56
-4,10,7
88,57,-14
-48,-12,3
-35,72,-76
-45,75,77
-8,7,-15
-11,73,-18
-77,79,6
43,42,10
29,-44,-41
-38,-50,37
-76,-75,78
-39,66,26
-31,-9,77
34,-63,24
35,16,-54
34,-46,54
40,-14,-15
-4,-65,51
-8,17,-28
26,11,84
44,-51,20
9,-30,47
-36,9,-41
69,88,-61
82,6,87
1,79,-38
73,35,-17
69,-47,-47
49,65,60
44,-4,-15
54,-89,53
56,-62,3
12,-2,-60
59,-35,63
-73,-85,23
56,46,-43
56,8,3
66,-69,-15
-66,44,-10
15,-21,9
7,1,36
65,0,-76
62,20,-76
73,14,-89
-2,-75,-51
-40,75,26
6,66,44
78,3,-67
24,37,89
-36,41,-57
72,56,-12
51,-44,58
20,-63,-85
-10,52,-21
57,76,54
-35,-35,-18
-36,-78,-10
-2,-13,41
-87,-75,-6
64,77,40
21,0,35
67,-35,-74
64,-24,-83
35,-12,-86
57,-41,27
-70,43,6
9,57,45
30,54,17
-29,57,-35
86,-56,10
82,-67,-29
59,-43,16
62,-87,-70
45,16,-23
-89,-72,82
-60,87,81
-17,12,-67
0,89,-25
-29,-43,-42
-16,41,-65
36,18,20
-83,51,69
-22,70,39
58,-68,-74
20,-70,53
70,-12,74
-57,-75,-42
-77,-17,-51
79,80,55
-73,7,69
-65,-79,-6
5,86,79
76,70,84
9,30,77
63,15,-11
-24,-32,-61
58,11,75
-42,-17,79
76,-30,-73
1,-34,-74
-74,40,-54
45,37,56
78,-20,80
73,16,-28
0,-30,82
-1,-49,-67
18,-33,40
